TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CAML3;10,00;2,62;30,73;1,29;0,46;20,22;6,77;1,34;6,06;9,09;3,03;0,64;0,41;1,25;-1,25;2,35;4,20;1,48;8,40;0,35;0,65;1,11;12,04;1,70;13.548.385,00;7,76;0,33;-0,42;3.700.000.000,00
CARD3;14,44;3,52;10,11;1,78;1,07;32,30;17,81;11,77;6,68;6,92;0,23;0,06;1,19;25,13;-1,52;1,17;17,65;10,62;14,87;0,60;0,40;0,90;1,99;11,62;3.069.154,19;8,20;1,45;0,34;606.100.000,00
CASH3;2,45;0,25;-52,08;2,83;2,18;-25,75;-25,75;-14,35;-29,02;-21,34;7,56;-0,74;7,47;3,46;-8,35;6,82;-5,44;-4,19;-12,16;0,77;0,23;0,29;;;95.516.083,42;0,87;-0,05;0,23;1.944.881.400,00
CASN3;15,01;0,23;97,32;7,85;3,36;49,62;22,88;11,08;47,14;41,47;4,77;0,79;10,78;359,05;-3,84;1,08;8,07;3,45;6,77;0,43;0,57;0,31;5,83;36,60;;1,91;0,15;4,88;10.224.353.499,27
CASN4;8,37;0,46;54,27;4,38;1,87;49,62;22,88;11,08;26,29;41,47;4,77;0,79;6,01;200,21;-2,14;1,08;8,07;3,45;6,77;0,43;0,57;0,31;5,83;36,60;;1,91;0,15;2,72;10.224.353.499,27
CATA3;103,61;15,54;0,94;0,10;0,05;24,90;7,61;7,53;0,93;3,88;2,96;0,32;0,07;0,19;-0,11;2,30;10,79;5,70;7,17;0,53;0,47;0,76;1,83;54,22;;1.020,76;110,10;0,00;14.940.354,78
CATA4;0,00;;0,00;0,00;0,00;24,90;7,61;7,53;0,00;3,88;2,96;0,32;0,00;0,00;0,00;2,30;10,79;5,70;7,17;0,53;0,47;0,76;1,83;54,22;;1.020,76;110,10;0,00;14.940.354,78
CBAV3;19,63;;20,98;2,48;0,98;20,01;25,74;23,02;18,76;20,99;2,19;0,29;4,83;5,09;-1,55;2,06;11,80;4,65;6,37;0,39;0,61;0,20;;;60.078.602,96;7,91;0,93;-0,13;11.618.749.993,50
CBEE3;22,00;0,32;63,36;1,42;0,33;15,08;6,18;0,98;10,09;20,82;10,73;1,51;0,62;-3,02;-0,43;0,69;2,25;0,51;5,26;0,23;0,77;0,52;13,66;;6.137,50;15,46;0,35;0,90;5.284.618.262,00
CCRO3;13,48;1,23;39,29;3,19;0,66;37,92;29,75;5,68;7,50;13,26;5,76;2,45;2,23;13,29;-0,82;1,35;8,12;1,68;7,27;0,21;0,79;0,30;4,14;-16,50;120.468.574,23;4,24;0,34;0,15;27.270.000.000,00
